iso3,aux_unctad_export_concentration
AFG,0.098
AGO,0.104
ALB,0.104
AND,0.122
ARE,0.166
ARG,0.077
ARM,0.165
ATG,0.231
AUS,0.114
AUT,0.056
AZE,0.143
BDI,0.084
BEL,0.105
BEN,0.17
BFA,0.311
BGD,0.092
BGR,0.062
BHR,0.141
BHS,0.3
BIH,0.068
BLR,0.196
BLZ,0.131
BOL,0.173
BRA,0.077
BRB,0.16
BRN,0.46
BTN,0.106
BWA,0.253
CAF,0.146
CAN,0.072
CHE,0.288
CHL,0.09
CHN,0.177
CIV,0.184
CMR,0.117
COD,0.227
COG,0.261
COL,0.074
COM,0.129
CPV,0.268
CRI,0.08
CUB,0.088
CYP,0.171
CZE,0.085
DEU,0.072
DJI,0.117
DMA,0.094
DNK,0.062
DOM,0.079
DZA,0.063
ECU,0.13
EGY,0.079
ERI,0.078
ESP,0.08
EST,0.08
ETH,0.101
FIN,0.08
FJI,0.186
FRA,0.066
FSM,0.271
GAB,0.137
GBR,0.103
GEO,0.187
GHA,0.099
GIN,0.088
GMB,0.151
GNB,0.193
GNQ,0.078
GRC,0.141
GRD,0.157
GTM,0.102
GUY,0.117
HND,0.098
HRV,0.068
HTI,0.155
HUN,0.072
IDN,0.064
IND,0.18
IRL,0.14
IRN,0.104
IRQ,0.065
ISL,0.121
ISR,0.078
ITA,0.067
JAM,0.134
JOR,0.083
JPN,0.099
KAZ,0.086
KEN,0.139
KGZ,0.167
KHM,0.122
KIR,0.109
KNA,0.1
KOR,0.146
KWT,0.1
LAO,0.11
LBN,0.188
LBR,0.557
LBY,0.146
LCA,0.393
LIE,
LKA,0.116
LSO,0.114
LTU,0.104
LUX,0.094
LVA,0.073
MAR,0.087
MCO,
MDA,0.094
MDG,0.14
MDV,0.172
MEX,0.102
MHL,0.749
MKD,0.092
MLI,0.266
MLT,0.261
MMR,0.332
MNE,0.083
MNG,0.163
MOZ,0.153
MRT,0.171
MUS,0.166
MWI,0.125
MYS,0.185
NAM,0.124
NER,0.118
NGA,0.186
NIC,0.087
NLD,0.086
NOR,0.067
NPL,0.1
NRU,0.106
NZL,0.117
OMN,0.125
PAK,0.142
PAN,0.197
PER,0.084
PHL,0.112
PLW,0.184
PNG,0.103
POL,0.056
PRK,0.108
PRT,0.067
PRY,0.133
PSE,0.085
QAT,0.084
ROU,0.059
RUS,0.05
RWA,0.099
SAU,0.081
SDN,0.111
SEN,0.153
SGP,0.231
SLB,0.141
SLE,0.103
SLV,0.091
SMR,
SOM,0.155
SRB,0.103
SSD,0.075
STP,0.229
SUR,0.088
SVK,0.118
SVN,0.283
SWE,0.08
SWZ,0.104
SYC,0.181
SYR,0.06
TCD,0.098
TGO,0.205
THA,0.12
TJK,0.076
TKM,0.064
TLS,0.131
TON,0.208
TTO,0.163
TUN,0.09
TUR,0.106
TUV,0.165
TZA,0.122
UGA,0.14
UKR,0.109
URY,0.072
USA,0.087
UZB,0.06
VAT,
VCT,0.122
VEN,0.052
VNM,0.142
VUT,0.206
WSM,0.163
YEM,0.114
ZAF,0.121
ZMB,0.111
ZWE,0.122
