iso3,trace_bribery_total,henley_passport_access
AFG,0.78,0.8987
AGO,0.68,0.7885
ALB,0.47,0.467
AND,0.4,0.2555
ARE,0.45,0.1762
ARG,0.46,0.2599
ARM,0.39,0.7181
ATG,0.39,0.3216
AUS,0.13,0.1982
AUT,0.26,0.1894
AZE,0.64,0.7048
BDI,0.71,0.7885
BEL,0.23,0.185
BEN,0.52,0.7137
BFA,0.55,0.7533
BGD,0.61,0.8414
BGR,0.38,0.2203
BHR,0.63,0.6167
BHS,0.42,0.304
BIH,0.48,0.467
BLR,0.71,0.6608
BLZ,0.48,0.5595
BOL,0.6,0.6608
BRA,0.51,0.2599
BRB,0.34,0.2819
BRN,0.53,0.2819
BTN,0.39,0.793
BWA,0.4,0.6432
CAF,0.67,0.7885
CAN,0.14,0.1982
CHE,0.1,0.185
CHL,0.34,0.2335
CHN,0.59,0.6388
CIV,0.59,0.7577
CMR,0.7,0.793
COD,0.77,0.8106
COG,0.79,0.7974
COL,0.48,0.4273
COM,0.72,0.7797
CPV,0.41,0.7225
CRI,0.31,0.348
CUB,0.75,0.7533
CYP,0.36,0.2335
CZE,0.31,0.1982
DEU,0.18,0.185
DJI,0.62,0.8018
DMA,0.35,0.3612
DNK,0.12,0.185
DOM,0.47,0.6872
DZA,0.67,0.7577
ECU,0.54,0.5903
EGY,0.65,0.7841
ERI,0.76,0.8326
ESP,0.3,0.185
EST,0.14,0.2026
ETH,0.64,0.815
FIN,0.14,0.185
FJI,0.47,0.6167
FRA,0.29,0.185
FSM,0.43,0.4714
GAB,0.7,0.7577
GBR,0.13,0.1938
GEO,0.36,0.4714
GHA,0.45,0.7048
GIN,0.6,0.7709
GMB,0.5,0.7004
GNB,0.64,0.7797
GNQ,0.84,0.7709
GRC,0.38,0.1894
GRD,0.42,0.3524
GTM,0.59,0.4185
GUY,0.55,0.6123
HND,0.57,0.4317
HRV,0.37,0.2026
HTI,0.72,0.7841
HUN,0.52,0.1938
IDN,0.42,0.6916
IND,0.56,0.7533
IRL,0.19,0.185
IRN,0.78,0.8326
IRQ,0.66,0.8722
ISL,0.18,0.2115
ISR,0.36,0.2687
ITA,0.33,0.185
JAM,0.37,0.6256
JOR,0.43,0.7841
JPN,0.15,0.1762
KAZ,0.53,0.6564
KEN,0.54,0.696
KGZ,0.6,0.7401
KHM,0.7,0.793
KIR,0.5,0.4626
KNA,0.38,0.3084
KOR,0.24,0.1762
KWT,0.49,0.5771
LAO,0.68,0.8018
LBN,0.57,0.815
LBR,0.61,0.7841
LBY,0.75,0.8282
LCA,0.37,0.3656
LIE,0.23,0.207
LKA,0.5,0.8282
LSO,0.51,0.6784
LTU,0.22,0.207
LUX,0.2,0.185
LVA,0.25,0.1982
MAR,0.56,0.6872
MCO,,0.2247
MDA,0.44,0.4758
MDG,0.58,0.7577
MDV,0.47,0.5947
MEX,0.54,0.3128
MHL,0.49,0.4405
MKD,0.44,0.4449
MLI,0.71,0.7665
MLT,0.36,0.1894
MMR,0.67,0.8106
MNE,0.39,0.4449
MNG,0.5,0.7181
MOZ,0.63,0.7401
MRT,0.72,0.7577
MUS,0.44,0.3524
MWI,0.53,0.6916
MYS,0.45,0.1938
NAM,0.43,0.674
NER,0.58,0.7621
NGA,0.64,0.8062
NIC,0.74,0.4493
NLD,0.19,0.185
NOR,0.07,0.185
NPL,0.43,0.8458
NRU,,0.6211
NZL,0.19,0.1982
OMN,0.56,0.63
PAK,0.59,0.8678
PAN,0.47,0.3524
PER,0.49,0.3789
PHL,0.52,0.7137
PLW,0.52,0.4714
PNG,0.61,0.63
POL,0.36,0.1938
PRK,0.92,0.8458
PRT,0.34,0.1894
PRY,0.54,0.3612
PSE,,0.8326
QAT,0.61,0.5066
ROU,0.41,0.2203
RUS,0.66,0.4978
RWA,0.56,0.7048
SAU,0.57,0.6123
SDN,0.7,0.8194
SEN,0.47,0.7533
SGP,0.28,0.1542
SLB,0.52,0.4185
SLE,0.51,0.7269
SLV,0.58,0.4229
SMR,0.45,0.2687
SOM,0.71,0.859
SRB,0.51,0.4053
SSD,0.81,0.8194
STP,0.49,0.7445
SUR,0.5,0.6696
SVK,0.33,0.1982
SVN,0.28,0.1982
SWE,0.11,0.1806
SWZ,0.59,0.6872
SYC,0.36,0.3216
SYR,0.86,0.8855
TCD,0.72,0.7753
TGO,0.56,0.7489
THA,0.47,0.6652
TJK,0.69,0.7665
TKM,0.88,0.8018
TLS,0.45,0.5947
TON,0.42,0.4405
TTO,0.4,0.3612
TUN,0.49,0.7093
TUR,0.56,0.5022
TUV,,0.4493
TZA,0.51,0.7004
UGA,0.62,0.7137
UKR,0.52,0.3744
URY,0.3,0.3172
USA,0.16,0.2115
UZB,0.57,0.7401
VAT,,0.3348
VCT,0.39,0.3084
VEN,0.8,0.489
VNM,0.55,0.7885
VUT,0.45,0.6167
WSM,0.37,0.4317
YEM,0.84,0.8634
ZAF,0.39,0.5595
ZMB,0.52,0.7181
ZWE,0.64,0.7313
